id,class_label,definition,synonyms,parent_classes,object_properties,object_properties_readable,object_properties_simplified
HP_0012431,Episodic fatigue,Intermittent and recurrent bouts of a subjective feeling of tiredness characterized by a lack of energy and motivation.,,Fatigue (HP_0012378),[],,
HP_0012432,Chronic fatigue,Subjective feeling of tiredness characterized by a lack of energy and motivation that persists for six months or longer.,Chronic extreme exhaustion | Chronic fatigue,Fatigue (HP_0012378),[],,
HP_0012450,Chronic constipation,"Constipation for longer than three months with fewer than 3 bowel movements per week, straining, lumpy or hard stools, and a sensation of anorectal obstruction or incomplete defecation.",Chronic constipation | Infrequent bowel movements,Constipation (HP_0002019),[],,
HP_0012451,Acute constipation,Constipation of sudden onset and lasting for less than three months.,,Constipation (HP_0002019),[],,
HP_0012587,Macroscopic hematuria,Hematuria that is visible upon inspection of the urine.,Bloody urine | Gross hematuria,Hematuria (HP_0000790),[],,
HP_0012886,Hemorrhagic ovarian cyst,An abdominal mass formed by bleeding into a follicular ovarian cyst or corpus luteum cyst.,,Ovarian cyst (HP_0000138),[],,
HP_0025086,Bloody mucoid diarrhea,Passage of many stools containing blood and mucus.,Bloody mucoid diarrhea,Bloody diarrhea (HP_0025085),[],,
HP_0025215,Triggered by febrile illness,Applies to a sign or symptom that is provoked or brought about by febrile illness.,Febrile illness triggered symptoms | Triggered by fever,Triggered by (HP_0025204),[],,
HP_0030016,Dyspareunia,Recurrent or persistent genital pain associated with sexual intercourse.,,Abnormality of reproductive system physiology (HP_0000080),[],,
HP_0030244,Maternal fever in pregnancy,The occurrence of an elevated body temperature of the mother during pregnancy.,Maternal fever during pregnancy,Pregnancy history (HP_0002686),[],,
HP_0030245,Intrapartum fever,The occurrence of maternal fever during labor.,Maternal fever during labor | Maternal fever during labour,Maternal fever in pregnancy (HP_0030244),[],,
HP_0030246,Maternal first trimester fever,The occurrence of fever in a mother during the first trimester of pregnancy.,,Maternal fever in pregnancy (HP_0030244),[],,
HP_0030425,Calcified ovarian cyst,A cyst of the ovary that exhibits deposition of calcium salts.,,Ovarian cyst (HP_0000138),[],,
HP_0032249,Coccidioidomycosis,"Infection by a Coccidioides species fungus. These are dimorphic, soil-dwelling, fungi known to cause a broad spectrum of disease, ranging from a mild febrile illness to severe pulmonary manifestations or disseminated disease. The genus Coccidioides is comprised of two genetically distinct species: Coccidioides immitis and C. posadasii.",Valley fever,Opportunistic fungal infection (HP_0032255),[],,
HP_0032323,Periodic fever,Episodic fever that recurs at regular intervals.,,Recurrent fever (HP_0001954),[],,
HP_0032324,Non-periodic recurrent fever,Episodic fever that recurs at irregular intervals.,,Recurrent fever (HP_0001954),[],,
HP_0032656,Febrile status epilepticus,"A seizure lasting 30 minutes without fully regaining consciousness, provoked by fever (temperature greater than 38.0 degrees Celcius) at the time of seizure-onset, without a prior history of afebrile seizure and with no evidence of an acute central nervous system infection or insult.",Fever-induced status epilepticus,Status epilepticus (HP_0002133) | Complex febrile seizure (HP_0011172),[],,
HP_0032957,Dysmorphic hematuria,"The presence of dysmorphic urinary erythrocytes. This feature can be observed by phase-contrastmicroscopy, differential interference microscopy, and bright-field microscopy. The acanthocyte or G1 cell, which is a doughnut-shaped cell with one or more blebs, is reported to constitute a special form of dysmorphic erythro-cyte (D cell) specific for glomerular hematuria.",Acanthocyturia,Hematuria (HP_0000790),[],,
HP_0033087,Quotidian fever,Fever that occurs at daily intervals.,,Periodic fever (HP_0032323),[],,
HP_0033104,Inappropriate absence of fever,Failure to develop fever in the presence of an infection that normally would be expected to elicit a febrile response.,,Abnormality of temperature regulation (HP_0004370),[],,
HP_0033134,Abdominal adhesions,"Fibrous bands (i.e., bands of scar-like tissue) that span two or more intra-abdominal organs and/or the inner abdominal wall (i.e. peritoneal membrane).",Intra-abdominal adhesion,Abnormal abdomen morphology (HP_0001438),[],,
HP_0033236,Cognitive fatigue,A failure to sustain attention that requires self-motivation to optimize performance.,Central fatigue,Fatigue (HP_0012378),[],,
HP_0033310,Osmotic diarrhea,"Osmotic diarrhea results from the presence of osmotically active, poorly absorbed solutes in the bowel lumen that inhibit normal water and electrolyte absorption.",,Diarrhea (HP_0002014),[],,
